228 481 326
230 379 378
238 480 320
240 402 329
242 389 339
243 379 348
243 384 344
244 389 346
244 391 335
244 403 348
245 384 312
246 380 351
247 393 340
249 394 375
249 483 313
249 488 312
250 481 314
251 379 336
251 383 385
251 394 350
252 381 355
252 389 335
252 389 335
252 482 330
253 381 333
253 401 378
257 479 310
259 377 351
260 474 316
260 484 323
263 383 381
268 485 313
269 481 320
270 474 335
271 487 309
272 480 319
274 486 323
275 481 328
276 477 322
278 483 323
279 475 329
282 465 315
287 487 333
293 480 328
294 408 276
295 393 295
297 482 312
298 388 294
298 396 288
298 444 296
299 419 294
300 404 284
300 415 291
300 418 287
301 466 295
303 378 286
303 404 300
303 412 305
303 415 294
303 434 298
304 415 287
305 368 296
305 387 297
305 414 286
306 431 289
306 435 283
307 380 284
307 452 293
308 345 293
308 370 295
308 395 295
308 405 278
309 396 279
309 405 278
309 421 299
309 439 285
310 403 295
310 424 289
311 419 300
311 433 301
312 406 289
312 431 286
313 380 281
313 421 293
314 409 277
314 495 320
315 412 287
315 412 296
315 414 286
315 414 295
316 395 277
316 419 301
317 413 291
318 418 290
318 425 298
320 374 283
320 407 283
322 413 282
324 417 293
331 389 289
